actionId,shipmentUnitId,actionType,ownerRole,targetLocation,dueAt,status,reasonCode
ACT-LS-000001-AGI,HVDC-ADOPT-PPL-0001,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,AGI,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000001-MOSB,HVDC-ADOPT-PPL-0001,REQUEST_MOSB_STAGING_EVIDENCE,Marine Supervisor,MOSB,,OPEN,MOSB_MISSING_FOR_OFFSHORE
ACT-LS-000001-DATE-CONFLICT,HVDC-ADOPT-PPL-0001,REVIEW_DATE_CONFLICT,Logistics Data Steward,,,OPEN,FINAL_DELIVERY_BEFORE_RECEIPT
ACT-LS-000002-AGI,HVDC-ADOPT-PPL-0002,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,AGI,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000002-MOSB,HVDC-ADOPT-PPL-0002,REQUEST_MOSB_STAGING_EVIDENCE,Marine Supervisor,MOSB,,OPEN,MOSB_MISSING_FOR_OFFSHORE
ACT-LS-000002-DATE-CONFLICT,HVDC-ADOPT-PPL-0002,REVIEW_DATE_CONFLICT,Logistics Data Steward,,,OPEN,FINAL_DELIVERY_BEFORE_RECEIPT
ACT-LS-000003-AGI,HVDC-ADOPT-HS-0001,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,AGI,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000003-DAS,HVDC-ADOPT-HS-0001,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,DAS,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000003-MIR,HVDC-ADOPT-HS-0001,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,MIR,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000003-SHU,HVDC-ADOPT-HS-0001,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,SHU,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000003-MOSB,HVDC-ADOPT-HS-0001,REQUEST_MOSB_STAGING_EVIDENCE,Marine Supervisor,MOSB,,OPEN,MOSB_MISSING_FOR_OFFSHORE
ACT-LS-000003-WH-FU,HVDC-ADOPT-HS-0001,FOLLOW_UP_SITE_DELIVERY,Warehouse Execution Coordinator,AGI|DAS|MIR|SHU,,OPEN,WH_RECEIVED_NO_SITE_DELIVERY
ACT-LS-000004-DATE-CONFLICT,HVDC-ADOPT-PPL-0003,REVIEW_DATE_CONFLICT,Logistics Data Steward,,,OPEN,FINAL_DELIVERY_BEFORE_RECEIPT
ACT-LS-000005-AGI,HVDC-ADOPT-PPL-0004,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,AGI,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000005-MOSB,HVDC-ADOPT-PPL-0004,REQUEST_MOSB_STAGING_EVIDENCE,Marine Supervisor,MOSB,,OPEN,MOSB_MISSING_FOR_OFFSHORE
ACT-LS-000005-DATE-CONFLICT,HVDC-ADOPT-PPL-0004,REVIEW_DATE_CONFLICT,Logistics Data Steward,,,OPEN,FINAL_DELIVERY_BEFORE_RECEIPT
ACT-LS-000006-AGI,HVDC-ADOPT-PPL-0005,REQUEST_SITE_RECEIPT_DATE,Site Receiving Coordinator,AGI,,OPEN,REQUIRED_DEST_NO_RECEIPT
ACT-LS-000006-MOSB,HVDC-ADOPT-PPL-0005,REQUEST_MOSB_STAGING_EVIDENCE,Marine Supervisor,MOSB,,OPEN,MOSB_MISSING_FOR_OFFSHORE
