requirementId,shipmentUnitId,destinationCode,requiredFlag,sourceColumn,sourceLineId,validationStatus,reasonCode
DR-LS-000001-MIR,HVDC-ADOPT-PPL-0001,MIR,true,M,LS-000001,PASS,
DR-LS-000001-AGI,HVDC-ADOPT-PPL-0001,AGI,true,N,LS-000001,PASS,
DR-LS-000002-MIR,HVDC-ADOPT-PPL-0002,MIR,true,M,LS-000002,PASS,
DR-LS-000002-AGI,HVDC-ADOPT-PPL-0002,AGI,true,N,LS-000002,PASS,
DR-LS-000003-SHU,HVDC-ADOPT-HS-0001,SHU,true,K,LS-000003,PASS,
DR-LS-000003-DAS,HVDC-ADOPT-HS-0001,DAS,true,L,LS-000003,PASS,
DR-LS-000003-MIR,HVDC-ADOPT-HS-0001,MIR,true,M,LS-000003,PASS,
DR-LS-000003-AGI,HVDC-ADOPT-HS-0001,AGI,true,N,LS-000003,PASS,
DR-LS-000004-MIR,HVDC-ADOPT-PPL-0003,MIR,true,M,LS-000004,PASS,
DR-LS-000004-AGI,HVDC-ADOPT-PPL-0003,AGI,true,N,LS-000004,PASS,
DR-LS-000005-MIR,HVDC-ADOPT-PPL-0004,MIR,true,M,LS-000005,PASS,
DR-LS-000005-AGI,HVDC-ADOPT-PPL-0004,AGI,true,N,LS-000005,PASS,
DR-LS-000006-MIR,HVDC-ADOPT-PPL-0005,MIR,true,M,LS-000006,PASS,
DR-LS-000006-AGI,HVDC-ADOPT-PPL-0005,AGI,true,N,LS-000006,PASS,
DR-LS-000007-MIR,HVDC-ADOPT-PPL-0006,MIR,true,M,LS-000007,PASS,
DR-LS-000007-AGI,HVDC-ADOPT-PPL-0006,AGI,true,N,LS-000007,PASS,
DR-LS-000008-MIR,HVDC-ADOPT-PPL-0007,MIR,true,M,LS-000008,PASS,
DR-LS-000008-AGI,HVDC-ADOPT-PPL-0007,AGI,true,N,LS-000008,PASS,
DR-LS-000009-MIR,HVDC-ADOPT-PPL-0008,MIR,true,M,LS-000009,PASS,
DR-LS-000009-AGI,HVDC-ADOPT-PPL-0008,AGI,true,N,LS-000009,PASS,
DR-LS-000011-DAS,HVDC-ADOPT-HE-0001,DAS,true,L,LS-000011,PASS,
DR-LS-000012-DAS,HVDC-ADOPT-HE-0002,DAS,true,L,LS-000012,PASS,
DR-LS-000013-DAS,HVDC-ADOPT-HE-0003,DAS,true,L,LS-000013,PASS,
DR-LS-000014-DAS,HVDC-ADOPT-HE-0004,DAS,true,L,LS-000014,PASS,
DR-LS-000015-DAS,HVDC-ADOPT-HE-0005,DAS,true,L,LS-000015,PASS,
DR-LS-000016-DAS,HVDC-ADOPT-HE-0007,DAS,true,L,LS-000016,PASS,
DR-LS-000017-DAS,HVDC-ADOPT-HE-0008,DAS,true,L,LS-000017,PASS,
DR-LS-000018-DAS,HVDC-ADOPT-HE-0009,DAS,true,L,LS-000018,PASS,
DR-LS-000019-DAS,HVDC-ADOPT-HE-0010,DAS,true,L,LS-000019,PASS,
DR-LS-000020-DAS,HVDC-ADOPT-HE-0011,DAS,true,L,LS-000020,PASS,
DR-LS-000021-DAS,HVDC-ADOPT-HE-0020,DAS,true,L,LS-000021,PASS,
DR-LS-000022-DAS,HVDC-ADOPT-HE-0012,DAS,true,L,LS-000022,PASS,
DR-LS-000023-DAS,HVDC-ADOPT-HE-0013,DAS,true,L,LS-000023,PASS,
DR-LS-000024-MIR,HVDC-ADOPT-HE-0014,MIR,true,M,LS-000024,PASS,
DR-LS-000025-MIR,HVDC-ADOPT-HE-0015,MIR,true,M,LS-000025,PASS,
DR-LS-000026-SHU,HVDC-ADOPT-HE-0016,SHU,true,K,LS-000026,PASS,
DR-LS-000027-SHU,HVDC-ADOPT-HE-0017,SHU,true,K,LS-000027,PASS,
DR-LS-000028-AGI,HVDC-ADOPT-HE-0018,AGI,true,N,LS-000028,PASS,
DR-LS-000029-AGI,HVDC-ADOPT-HE-0019,AGI,true,N,LS-000029,PASS,
DR-LS-000030-SHU,HVDC-ADOPT-HE-0021,SHU,true,K,LS-000030,PASS,
DR-LS-000031-DAS,HVDC-ADOPT-HE-0022,DAS,true,L,LS-000031,PASS,
DR-LS-000032-DAS,HVDC-ADOPT-HE-0023,DAS,true,L,LS-000032,PASS,
DR-LS-000033-SHU,HVDC-ADOPT-HE-0024,SHU,true,K,LS-000033,PASS,
DR-LS-000034-MIR,HVDC-ADOPT-HE-0025,MIR,true,M,LS-000034,PASS,
DR-LS-000035-DAS,HVDC-ADOPT-HE-0026,DAS,true,L,LS-000035,PASS,
DR-LS-000036-DAS,HVDC-ADOPT-HE-0027,DAS,true,L,LS-000036,PASS,
DR-LS-000037-DAS,HVDC-ADOPT-HE-0062,DAS,true,L,LS-000037,PASS,
DR-LS-000038-DAS,HVDC-ADOPT-HE-0063,DAS,true,L,LS-000038,PASS,
DR-LS-000039-MIR,HVDC-ADOPT-HE-0064,MIR,true,M,LS-000039,PASS,
DR-LS-000040-MIR,HVDC-ADOPT-HE-0065,MIR,true,M,LS-000040,PASS,
DR-LS-000041-SHU,HVDC-ADOPT-HE-0066,SHU,true,K,LS-000041,PASS,
DR-LS-000042-SHU,HVDC-ADOPT-HE-0067,SHU,true,K,LS-000042,PASS,
DR-LS-000043-SHU,HVDC-ADOPT-HE-0028,SHU,true,K,LS-000043,PASS,
DR-LS-000044-MIR,HVDC-ADOPT-HE-0058,MIR,true,M,LS-000044,PASS,
DR-LS-000045-MIR,HVDC-ADOPT-HE-0059,MIR,true,M,LS-000045,PASS,
DR-LS-000046-DAS,HVDC-ADOPT-HE-0060,DAS,true,L,LS-000046,PASS,
DR-LS-000047-SHU,HVDC-ADOPT-PPL-0010,SHU,true,K,LS-000047,PASS,
DR-LS-000048-SHU,HVDC-ADOPT-PPL-0011,SHU,true,K,LS-000048,PASS,
DR-LS-000051-SHU,HVDC-ADOPT-SCT-0001,SHU,true,K,LS-000051,PASS,
DR-LS-000051-MIR,HVDC-ADOPT-SCT-0001,MIR,true,M,LS-000051,PASS,
DR-LS-000052-SHU,HVDC-ADOPT-SCT-0002,SHU,true,K,LS-000052,PASS,
DR-LS-000052-DAS,HVDC-ADOPT-SCT-0002,DAS,true,L,LS-000052,PASS,
DR-LS-000053-SHU,HVDC-ADOPT-SEI-0001,SHU,true,K,LS-000053,PASS,
DR-LS-000053-DAS,HVDC-ADOPT-SEI-0001,DAS,true,L,LS-000053,PASS,
DR-LS-000054-SHU,HVDC-ADOPT-SEI-0002,SHU,true,K,LS-000054,PASS,
DR-LS-000054-DAS,HVDC-ADOPT-SEI-0002,DAS,true,L,LS-000054,PASS,
DR-LS-000055-SHU,HVDC-ADOPT-SIM-0001,SHU,true,K,LS-000055,PASS,
DR-LS-000055-DAS,HVDC-ADOPT-SIM-0001,DAS,true,L,LS-000055,PASS,
