milestoneEventId,shipmentUnitId,milestoneCode,occurredAt,sourceColumn,sourceLineId
ME-LS-000001-M50_ETD,HVDC-ADOPT-PPL-0001,M50_ETD,2023-11-12,BE,LS-000001
ME-LS-000001-M55_ATD,HVDC-ADOPT-PPL-0001,M55_ATD,2023-11-12,BF,LS-000001
ME-LS-000001-M60_ETA,HVDC-ADOPT-PPL-0001,M60_ETA,2023-11-30,BG,LS-000001
ME-LS-000001-M70_ATA,HVDC-ADOPT-PPL-0001,M70_ATA,2023-12-01,BH,LS-000001
ME-LS-000001-M80_ATTESTATION,HVDC-ADOPT-PPL-0001,M80_ATTESTATION,2023-11-29,BI,LS-000001
ME-LS-000001-M90_DO_COLLECTED,HVDC-ADOPT-PPL-0001,M90_DO_COLLECTED,2023-11-30,BJ,LS-000001
ME-LS-000001-M91_CUSTOMS_STARTED,HVDC-ADOPT-PPL-0001,M91_CUSTOMS_STARTED,2023-11-29,BK,LS-000001
ME-LS-000001-M92_CUSTOMS_CLOSED,HVDC-ADOPT-PPL-0001,M92_CUSTOMS_CLOSED,2023-12-01,BL,LS-000001
ME-LS-000001-M140_FINAL_DELIVERED,HVDC-ADOPT-PPL-0001,M140_FINAL_DELIVERED,2023-12-05,CF,LS-000001
ME-LS-000002-M50_ETD,HVDC-ADOPT-PPL-0002,M50_ETD,2023-11-12,BE,LS-000002
ME-LS-000002-M55_ATD,HVDC-ADOPT-PPL-0002,M55_ATD,2023-11-12,BF,LS-000002
ME-LS-000002-M60_ETA,HVDC-ADOPT-PPL-0002,M60_ETA,2023-11-30,BG,LS-000002
ME-LS-000002-M70_ATA,HVDC-ADOPT-PPL-0002,M70_ATA,2023-12-01,BH,LS-000002
ME-LS-000002-M80_ATTESTATION,HVDC-ADOPT-PPL-0002,M80_ATTESTATION,2023-11-29,BI,LS-000002
ME-LS-000002-M90_DO_COLLECTED,HVDC-ADOPT-PPL-0002,M90_DO_COLLECTED,2023-11-30,BJ,LS-000002
ME-LS-000002-M91_CUSTOMS_STARTED,HVDC-ADOPT-PPL-0002,M91_CUSTOMS_STARTED,2023-11-29,BK,LS-000002
ME-LS-000002-M92_CUSTOMS_CLOSED,HVDC-ADOPT-PPL-0002,M92_CUSTOMS_CLOSED,2023-12-01,BL,LS-000002
ME-LS-000002-M140_FINAL_DELIVERED,HVDC-ADOPT-PPL-0002,M140_FINAL_DELIVERED,2023-12-06,CF,LS-000002
ME-LS-000003-M50_ETD,HVDC-ADOPT-HS-0001,M50_ETD,2023-11-26,BE,LS-000003
ME-LS-000003-M55_ATD,HVDC-ADOPT-HS-0001,M55_ATD,2023-12-03,BF,LS-000003
ME-LS-000003-M60_ETA,HVDC-ADOPT-HS-0001,M60_ETA,2024-01-07,BG,LS-000003
ME-LS-000003-M70_ATA,HVDC-ADOPT-HS-0001,M70_ATA,2024-01-12,BH,LS-000003
ME-LS-000003-M80_ATTESTATION,HVDC-ADOPT-HS-0001,M80_ATTESTATION,2023-12-08,BI,LS-000003
ME-LS-000003-M90_DO_COLLECTED,HVDC-ADOPT-HS-0001,M90_DO_COLLECTED,2024-01-12,BJ,LS-000003
ME-LS-000003-M91_CUSTOMS_STARTED,HVDC-ADOPT-HS-0001,M91_CUSTOMS_STARTED,2024-01-12,BK,LS-000003
ME-LS-000003-M92_CUSTOMS_CLOSED,HVDC-ADOPT-HS-0001,M92_CUSTOMS_CLOSED,2024-01-16,BL,LS-000003
ME-LS-000003-M140_FINAL_DELIVERED,HVDC-ADOPT-HS-0001,M140_FINAL_DELIVERED,2024-01-20,CF,LS-000003
ME-LS-000004-M50_ETD,HVDC-ADOPT-PPL-0003,M50_ETD,2023-12-15,BE,LS-000004
ME-LS-000004-M55_ATD,HVDC-ADOPT-PPL-0003,M55_ATD,2023-12-17,BF,LS-000004
ME-LS-000004-M60_ETA,HVDC-ADOPT-PPL-0003,M60_ETA,2024-02-12,BG,LS-000004
ME-LS-000004-M70_ATA,HVDC-ADOPT-PPL-0003,M70_ATA,2024-02-14,BH,LS-000004
ME-LS-000004-M80_ATTESTATION,HVDC-ADOPT-PPL-0003,M80_ATTESTATION,2023-12-20,BI,LS-000004
ME-LS-000004-M90_DO_COLLECTED,HVDC-ADOPT-PPL-0003,M90_DO_COLLECTED,2024-02-13,BJ,LS-000004
ME-LS-000004-M91_CUSTOMS_STARTED,HVDC-ADOPT-PPL-0003,M91_CUSTOMS_STARTED,2024-02-14,BK,LS-000004
ME-LS-000004-M92_CUSTOMS_CLOSED,HVDC-ADOPT-PPL-0003,M92_CUSTOMS_CLOSED,2024-02-14,BL,LS-000004
ME-LS-000004-M140_FINAL_DELIVERED,HVDC-ADOPT-PPL-0003,M140_FINAL_DELIVERED,2024-02-26,CF,LS-000004
ME-LS-000005-M50_ETD,HVDC-ADOPT-PPL-0004,M50_ETD,2023-12-15,BE,LS-000005
ME-LS-000005-M55_ATD,HVDC-ADOPT-PPL-0004,M55_ATD,2023-12-17,BF,LS-000005
ME-LS-000005-M60_ETA,HVDC-ADOPT-PPL-0004,M60_ETA,2024-01-30,BG,LS-000005
ME-LS-000005-M70_ATA,HVDC-ADOPT-PPL-0004,M70_ATA,2024-01-31,BH,LS-000005
ME-LS-000005-M80_ATTESTATION,HVDC-ADOPT-PPL-0004,M80_ATTESTATION,2023-12-20,BI,LS-000005
ME-LS-000005-M90_DO_COLLECTED,HVDC-ADOPT-PPL-0004,M90_DO_COLLECTED,2024-01-31,BJ,LS-000005
ME-LS-000005-M91_CUSTOMS_STARTED,HVDC-ADOPT-PPL-0004,M91_CUSTOMS_STARTED,2024-01-31,BK,LS-000005
ME-LS-000005-M92_CUSTOMS_CLOSED,HVDC-ADOPT-PPL-0004,M92_CUSTOMS_CLOSED,2024-02-01,BL,LS-000005
ME-LS-000005-M140_FINAL_DELIVERED,HVDC-ADOPT-PPL-0004,M140_FINAL_DELIVERED,2024-02-05,CF,LS-000005
ME-LS-000006-M50_ETD,HVDC-ADOPT-PPL-0005,M50_ETD,2023-12-21,BE,LS-000006
