receiptEventId,shipmentUnitId,locationCode,locationType,actualReceiptDt,sourceColumn,sourceLineId,matchedRequiredDestination,validationStatus,reasonCode
RE-LS-000001-MIR,HVDC-ADOPT-PPL-0001,MIR,PROJECT_SITE,2025-12-04,BQ,LS-000001,true,PASS,
RE-LS-000001-JDN_MZD,HVDC-ADOPT-PPL-0001,JDN_MZD,WAREHOUSE,2023-12-05,BX,LS-000001,false,PASS,
RE-LS-000002-MIR,HVDC-ADOPT-PPL-0002,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000002,true,PASS,
RE-LS-000002-JDN_MZD,HVDC-ADOPT-PPL-0002,JDN_MZD,WAREHOUSE,2023-12-06,BX,LS-000002,false,PASS,
RE-LS-000003-VIJAY_TANKS,HVDC-ADOPT-HS-0001,VIJAY_TANKS,TANK_STORAGE,2024-01-20,CD,LS-000003,false,PASS,
RE-LS-000004-MIR,HVDC-ADOPT-PPL-0003,MIR,PROJECT_SITE,2025-10-30,BQ,LS-000004,true,PASS,
RE-LS-000004-AGI,HVDC-ADOPT-PPL-0003,AGI,PROJECT_SITE,2025-12-26,BS,LS-000004,true,PASS,
RE-LS-000004-DSV_INDOOR,HVDC-ADOPT-PPL-0003,DSV_INDOOR,WAREHOUSE,2024-02-26,BT,LS-000004,false,PASS,
RE-LS-000004-MOSB,HVDC-ADOPT-PPL-0003,MOSB,MOSB_OFFSHORE_STAGING,2025-12-12,BZ,LS-000004,false,PASS,
RE-LS-000005-MIR,HVDC-ADOPT-PPL-0004,MIR,PROJECT_SITE,2025-11-25,BQ,LS-000005,true,PASS,
RE-LS-000005-JDN_MZD,HVDC-ADOPT-PPL-0004,JDN_MZD,WAREHOUSE,2024-02-05,BX,LS-000005,false,PASS,
RE-LS-000006-MIR,HVDC-ADOPT-PPL-0005,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000006,true,PASS,
RE-LS-000006-JDN_MZD,HVDC-ADOPT-PPL-0005,JDN_MZD,WAREHOUSE,2024-01-07,BX,LS-000006,false,PASS,
RE-LS-000007-MIR,HVDC-ADOPT-PPL-0006,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000007,true,PASS,
RE-LS-000007-JDN_MZD,HVDC-ADOPT-PPL-0006,JDN_MZD,WAREHOUSE,2024-01-07,BX,LS-000007,false,PASS,
RE-LS-000008-MIR,HVDC-ADOPT-PPL-0007,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000008,true,PASS,
RE-LS-000008-JDN_MZD,HVDC-ADOPT-PPL-0007,JDN_MZD,WAREHOUSE,2024-01-07,BX,LS-000008,false,PASS,
RE-LS-000009-MIR,HVDC-ADOPT-PPL-0008,MIR,PROJECT_SITE,2025-11-24,BQ,LS-000009,true,PASS,
RE-LS-000009-JDN_MZD,HVDC-ADOPT-PPL-0008,JDN_MZD,WAREHOUSE,2024-01-07,BX,LS-000009,false,PASS,
RE-LS-000010-MIR,HVDC-ADOPT-PPL-0009,MIR,PROJECT_SITE,2025-12-10,BQ,LS-000010,false,PASS,
RE-LS-000010-AGI,HVDC-ADOPT-PPL-0009,AGI,PROJECT_SITE,2025-12-07,BS,LS-000010,false,PASS,
RE-LS-000010-DSV_KIZAD,HVDC-ADOPT-PPL-0009,DSV_KIZAD,WAREHOUSE,2024-03-03,BW,LS-000010,false,PASS,
RE-LS-000010-MOSB,HVDC-ADOPT-PPL-0009,MOSB,MOSB_OFFSHORE_STAGING,2025-12-04,BZ,LS-000010,false,PASS,
RE-LS-000011-DAS,HVDC-ADOPT-HE-0001,DAS,PROJECT_SITE,2025-05-16,BR,LS-000011,true,PASS,
RE-LS-000011-DSV_OUTDOOR,HVDC-ADOPT-HE-0001,DSV_OUTDOOR,WAREHOUSE,2024-01-19,BU,LS-000011,false,PASS,
RE-LS-000012-DAS,HVDC-ADOPT-HE-0002,DAS,PROJECT_SITE,2025-05-16,BR,LS-000012,true,PASS,
RE-LS-000012-DSV_OUTDOOR,HVDC-ADOPT-HE-0002,DSV_OUTDOOR,WAREHOUSE,2024-01-25,BU,LS-000012,false,PASS,
RE-LS-000012-MOSB,HVDC-ADOPT-HE-0002,MOSB,MOSB_OFFSHORE_STAGING,2024-05-08,BZ,LS-000012,false,PASS,
RE-LS-000013-DAS,HVDC-ADOPT-HE-0003,DAS,PROJECT_SITE,2025-06-13,BR,LS-000013,true,PASS,
RE-LS-000013-DSV_INDOOR,HVDC-ADOPT-HE-0003,DSV_INDOOR,WAREHOUSE,2024-01-29,BT,LS-000013,false,PASS,
RE-LS-000013-DSV_OUTDOOR,HVDC-ADOPT-HE-0003,DSV_OUTDOOR,WAREHOUSE,2024-01-29,BU,LS-000013,false,PASS,
RE-LS-000014-DAS,HVDC-ADOPT-HE-0004,DAS,PROJECT_SITE,2025-05-13,BR,LS-000014,true,PASS,
RE-LS-000014-DSV_OUTDOOR,HVDC-ADOPT-HE-0004,DSV_OUTDOOR,WAREHOUSE,2024-02-23,BU,LS-000014,false,PASS,
RE-LS-000015-DAS,HVDC-ADOPT-HE-0005,DAS,PROJECT_SITE,2025-06-17,BR,LS-000015,true,PASS,
RE-LS-000015-DSV_INDOOR,HVDC-ADOPT-HE-0005,DSV_INDOOR,WAREHOUSE,2024-02-15,BT,LS-000015,false,PASS,
RE-LS-000015-DSV_OUTDOOR,HVDC-ADOPT-HE-0005,DSV_OUTDOOR,WAREHOUSE,2024-02-15,BU,LS-000015,false,PASS,
RE-LS-000015-MOSB,HVDC-ADOPT-HE-0005,MOSB,MOSB_OFFSHORE_STAGING,2025-06-24,BZ,LS-000015,false,PASS,
RE-LS-000016-DAS,HVDC-ADOPT-HE-0007,DAS,PROJECT_SITE,2025-06-11,BR,LS-000016,true,PASS,
RE-LS-000016-DSV_INDOOR,HVDC-ADOPT-HE-0007,DSV_INDOOR,WAREHOUSE,2024-02-02,BT,LS-000016,false,PASS,
RE-LS-000017-DAS,HVDC-ADOPT-HE-0008,DAS,PROJECT_SITE,2025-06-11,BR,LS-000017,true,PASS,
RE-LS-000017-DSV_INDOOR,HVDC-ADOPT-HE-0008,DSV_INDOOR,WAREHOUSE,2024-01-30,BT,LS-000017,false,PASS,
RE-LS-000018-DAS,HVDC-ADOPT-HE-0009,DAS,PROJECT_SITE,2025-06-11,BR,LS-000018,true,PASS,
RE-LS-000018-DSV_INDOOR,HVDC-ADOPT-HE-0009,DSV_INDOOR,WAREHOUSE,2024-02-03,BT,LS-000018,false,PASS,
RE-LS-000019-DAS,HVDC-ADOPT-HE-0010,DAS,PROJECT_SITE,2025-06-20,BR,LS-000019,true,PASS,
RE-LS-000019-DSV_INDOOR,HVDC-ADOPT-HE-0010,DSV_INDOOR,WAREHOUSE,2024-02-05,BT,LS-000019,false,PASS,
RE-LS-000020-DAS,HVDC-ADOPT-HE-0011,DAS,PROJECT_SITE,2025-06-30,BR,LS-000020,true,PASS,
RE-LS-000020-DSV_INDOOR,HVDC-ADOPT-HE-0011,DSV_INDOOR,WAREHOUSE,2024-02-07,BT,LS-000020,false,PASS,
RE-LS-000021-DAS,HVDC-ADOPT-HE-0020,DAS,PROJECT_SITE,2025-06-30,BR,LS-000021,true,PASS,
RE-LS-000021-DSV_OUTDOOR,HVDC-ADOPT-HE-0020,DSV_OUTDOOR,WAREHOUSE,2024-02-08,BU,LS-000021,false,PASS,
RE-LS-000022-DAS,HVDC-ADOPT-HE-0012,DAS,PROJECT_SITE,2025-05-31,BR,LS-000022,true,PASS,
RE-LS-000022-DSV_OUTDOOR,HVDC-ADOPT-HE-0012,DSV_OUTDOOR,WAREHOUSE,2024-01-23,BU,LS-000022,false,PASS,
RE-LS-000022-MOSB,HVDC-ADOPT-HE-0012,MOSB,MOSB_OFFSHORE_STAGING,2025-05-26,BZ,LS-000022,false,PASS,
RE-LS-000023-DAS,HVDC-ADOPT-HE-0013,DAS,PROJECT_SITE,2025-05-31,BR,LS-000023,true,PASS,
RE-LS-000023-DSV_OUTDOOR,HVDC-ADOPT-HE-0013,DSV_OUTDOOR,WAREHOUSE,2024-01-23,BU,LS-000023,false,PASS,
RE-LS-000023-MOSB,HVDC-ADOPT-HE-0013,MOSB,MOSB_OFFSHORE_STAGING,2025-05-26,BZ,LS-000023,false,PASS,
RE-LS-000024-MIR,HVDC-ADOPT-HE-0014,MIR,PROJECT_SITE,2024-01-26,BQ,LS-000024,true,PASS,
RE-LS-000025-MIR,HVDC-ADOPT-HE-0015,MIR,PROJECT_SITE,2024-01-26,BQ,LS-000025,true,PASS,
RE-LS-000026-SHU,HVDC-ADOPT-HE-0016,SHU,PROJECT_SITE,2024-01-24,BP,LS-000026,true,PASS,
RE-LS-000027-SHU,HVDC-ADOPT-HE-0017,SHU,PROJECT_SITE,2024-01-24,BP,LS-000027,true,PASS,
RE-LS-000028-AGI,HVDC-ADOPT-HE-0018,AGI,PROJECT_SITE,2025-11-26,BS,LS-000028,true,PASS,
RE-LS-000028-DSV_OUTDOOR,HVDC-ADOPT-HE-0018,DSV_OUTDOOR,WAREHOUSE,2024-01-24,BU,LS-000028,false,PASS,
RE-LS-000029-AGI,HVDC-ADOPT-HE-0019,AGI,PROJECT_SITE,2025-11-26,BS,LS-000029,true,PASS,
RE-LS-000029-DSV_OUTDOOR,HVDC-ADOPT-HE-0019,DSV_OUTDOOR,WAREHOUSE,2024-01-24,BU,LS-000029,false,PASS,
RE-LS-000030-SHU,HVDC-ADOPT-HE-0021,SHU,PROJECT_SITE,2024-01-26,BP,LS-000030,true,PASS,
RE-LS-000031-DAS,HVDC-ADOPT-HE-0022,DAS,PROJECT_SITE,2025-05-28,BR,LS-000031,true,PASS,
RE-LS-000031-DSV_OUTDOOR,HVDC-ADOPT-HE-0022,DSV_OUTDOOR,WAREHOUSE,2024-01-26,BU,LS-000031,false,PASS,
RE-LS-000032-DAS,HVDC-ADOPT-HE-0023,DAS,PROJECT_SITE,2024-09-02,BR,LS-000032,true,PASS,
RE-LS-000032-MOSB,HVDC-ADOPT-HE-0023,MOSB,MOSB_OFFSHORE_STAGING,2024-02-24,BZ,LS-000032,false,PASS,
RE-LS-000033-SHU,HVDC-ADOPT-HE-0024,SHU,PROJECT_SITE,2024-02-25,BP,LS-000033,true,PASS,
RE-LS-000034-MIR,HVDC-ADOPT-HE-0025,MIR,PROJECT_SITE,2024-02-27,BQ,LS-000034,true,PASS,
RE-LS-000035-DAS,HVDC-ADOPT-HE-0026,DAS,PROJECT_SITE,2024-09-02,BR,LS-000035,true,PASS,
RE-LS-000035-MOSB,HVDC-ADOPT-HE-0026,MOSB,MOSB_OFFSHORE_STAGING,2024-02-24,BZ,LS-000035,false,PASS,
RE-LS-000036-DAS,HVDC-ADOPT-HE-0027,DAS,PROJECT_SITE,2025-06-07,BR,LS-000036,true,PASS,
RE-LS-000036-DSV_INDOOR,HVDC-ADOPT-HE-0027,DSV_INDOOR,WAREHOUSE,2024-03-08,BT,LS-000036,false,PASS,
RE-LS-000036-DSV_OUTDOOR,HVDC-ADOPT-HE-0027,DSV_OUTDOOR,WAREHOUSE,2024-03-08,BU,LS-000036,false,PASS,
RE-LS-000036-MOSB,HVDC-ADOPT-HE-0027,MOSB,MOSB_OFFSHORE_STAGING,2025-05-26,BZ,LS-000036,false,PASS,
