shipmentUnitId,sourceLineId,vendor,category,poNo,invoiceNo,incoterms,declaredDestinationSet,declaredDestinationCount,currentStage,currentLocation,routingPattern,latestReceiptDt,finalDeliveryDt,siteCompletionRate,missingRequiredDestination,receivedWithoutFlag
HVDC-ADOPT-PPL-0001,LS-000001,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0001,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-12-04,2023-12-05,0.5000,AGI,
HVDC-ADOPT-PPL-0002,LS-000002,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0002,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-24,2023-12-06,0.5000,AGI,
HVDC-ADOPT-HS-0001,LS-000003,SCT Trade,Mech,HVDC-Carbon steel Plate-'23-1,HVDC-ADOPT-HS-0001,CIF,AGI|DAS|MIR|SHU,4,M140_FINAL_DELIVERED,VIJAY_TANKS,WH_ONLY,2024-01-20,2024-01-20,0.0000,AGI|DAS|MIR|SHU,
HVDC-ADOPT-PPL-0003,LS-000004,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0003,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,AGI,WH_MOSB_SITE,2025-12-26,2024-02-26,1.0000,,
HVDC-ADOPT-PPL-0004,LS-000005,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0004,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-25,2024-02-05,0.5000,AGI,
HVDC-ADOPT-PPL-0005,LS-000006,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0005,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-24,2024-01-07,0.5000,AGI,
HVDC-ADOPT-PPL-0006,LS-000007,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0006,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-24,2024-01-07,0.5000,AGI,
HVDC-ADOPT-PPL-0007,LS-000008,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0007,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-24,2024-01-07,0.5000,AGI,
HVDC-ADOPT-PPL-0008,LS-000009,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0008,CIF,AGI|MIR,2,M140_FINAL_DELIVERED,MIR,WH_SITE,2025-11-24,2024-01-07,0.5000,AGI,
HVDC-ADOPT-PPL-0009,LS-000010,Prysmian,Elec,5000675246,HVDC-ADOPT-PPL-0009,CIF,,0,M140_FINAL_DELIVERED,MIR,WH_MOSB_SITE,2025-12-10,2024-03-03,,,AGI|MIR
